"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
50,50,0,7,1,3,NA,4,60,0,0
51,98,71,2,997,2,"Democrat",2,36,1,1
64,49,50,6,997,2,"Independent",4,43,1,1
61,66,34,7,1,5,"Independent",4,42,1,0
79,98,92,1,7,2,"Democrat",4,67,0,1
59,59,41,7,3,1,"Republican",4,71,1,0
69,98,66,2,4,4,"Democrat",2,59,0,1
100,11,0,7,1,3,"Independent",4,76,1,1
75,75,76,2,6,2,"Democrat",2,28,0,0
50,100,69,1,5,5,"Democrat",2,71,0,0
53,52,7,7,2,5,"Republican",4,62,1,1
61,97,89,2,5,3,"Democrat",3,41,0,1
50,40,40,7,1,4,"Independent",4,55,1,0
85,49,1,7,1,2,"Independent",4,55,1,1
53,50,43,2,5,4,"Democrat",2,56,1,1
53,50,4,7,4,1,"Independent",4,69,0,0
50,50,40,7,1,7,"Independent",3,63,1,1
90,70,10,7,3,2,"Republican",4,66,1,0
88,61,70,2,5,2,"Democrat",2,36,1,1
70,100,41,5,2,3,"Democrat",2,61,1,1
42,NA,12,7,1,6,"Republican",3,74,1,1
80,90,5,7,1,1,"Republican",5,89,1,0
50,51,11,7,2,6,"Independent",5,66,1,0
85,85,85,7,1,7,"Independent",5,59,0,1
97,89,85,5,4,4,"Independent",3,64,1,0
31,99,80,1,7,1,"Democrat",3,41,0,0
75,70,49,2,2,4,"Independent",NA,36,0,1
51,50,1,7,997,3,"Republican",4,70,1,0
60,72,0,2,6,3,"Independent",3,71,1,0
75,100,85,2,6,6,"Independent",2,62,1,0
80,71,71,1,5,3,"Independent",3,60,1,1
59,18,37,7,1,7,"Republican",4,58,1,1
80,80,50,3,5,2,"Independent",3,59,1,0
84,83,50,3,5,1,"Independent",4,60,1,0
70,61,50,7,2,4,"Independent",4,68,1,1
75,99,51,2,5,2,"Democrat",4,63,0,1
82,93,68,7,1,2,"Independent",3,62,1,0
80,97,89,2,7,6,"Democrat",1,65,1,1
100,50,50,7,4,2,"Republican",3,56,1,1
70,70,62,6,4,3,"Republican",4,57,1,1
69,63,1,7,1,4,"Republican",5,63,1,1
86,87,65,2,6,4,"Democrat",NA,66,0,1
85,85,21,7,2,3,"Republican",4,79,1,0
100,99,70,7,1,4,"Republican",5,52,1,0
60,54,24,7,2,3,"Republican",4,55,1,1
56,72,50,2,5,4,"Independent",1,63,1,0
60,51,52,3,3,4,"Independent",4,60,1,1
44,50,41,7,4,5,"Independent",3,63,1,0
99,99,80,3,3,5,"Republican",3,52,1,1
70,60,55,2,6,5,"Democrat",1,40,0,0
89,40,29,7,1,1,"Independent",4,74,1,0
99,NA,13,3,5,4,"Democrat",3,55,1,1
75,15,0,7,1,7,NA,5,64,1,0
100,50,25,5,997,3,"Independent",3,60,1,1
90,39,6,7,1,3,"Republican",4,48,1,0
81,34,31,7,1,3,"Republican",5,44,1,0
97,50,47,3,3,4,"Democrat",2,51,1,1
100,100,32,5,7,2,NA,2,58,1,1
71,92,NA,2,2,4,"Independent",3,56,0,1
74,71,75,2,5,4,"Democrat",2,27,1,0
50,61,41,7,2,4,"Independent",4,66,1,0
69,70,51,3,997,4,"Democrat",NA,49,0,1
81,91,12,2,7,1,"Democrat",3,72,1,1
50,45,4,7,3,3,"Independent",3,67,1,0
71,59,4,3,4,2,"Democrat",3,36,1,1
52,52,9,2,4,3,"Democrat",2,50,1,1
50,30,30,2,4,5,"Democrat",3,36,1,0
79,99,100,1,7,1,"Republican",5,27,0,0
52,50,1,7,1,4,"Republican",5,46,1,0
97,71,70,1,6,3,"Democrat",2,71,1,0
90,90,88,7,1,7,"Independent",3,26,1,1
50,50,13,7,1,4,NA,5,70,0,0
50,50,50,1,4,5,"Democrat",3,55,0,0
60,76,76,1,7,1,"Independent",3,32,0,1
48,56,20,3,4,5,"Independent",5,22,1,0
90,89,51,7,2,7,"Republican",NA,78,1,1
100,100,0,7,4,3,"Republican",3,45,1,1
100,26,16,7,3,4,"Republican",5,30,1,1
100,94,84,1,6,2,"Democrat",3,65,1,0
50,50,50,7,1,4,"Republican",5,33,0,1
89,50,1,7,3,2,"Republican",5,74,1,1
100,100,100,1,4,4,"Democrat",1,55,0,1
71,90,40,7,3,4,"Independent",4,71,1,1
67,75,56,2,4,5,"Democrat",2,42,0,0
87,84,75,1,7,1,"Democrat",2,64,1,0
69,49,50,4,4,2,"Independent",2,39,1,1
75,80,87,1,6,1,"Democrat",1,75,1,1
2,93,10,7,4,5,"Independent",NA,42,0,0
69,79,41,3,6,3,"Democrat",4,48,1,1
50,50,60,6,3,3,"Republican",4,59,0,0
78,94,84,2,7,3,"Democrat",3,57,0,1
100,50,40,6,3,3,"Republican",4,61,1,1
90,81,79,1,6,2,"Democrat",2,67,1,0
100,100,50,7,1,7,"Independent",5,54,0,0
97,96,95,2,5,2,"Democrat",3,65,1,0
86,41,26,6,4,4,"Republican",4,63,1,1
59,50,10,7,4,2,"Republican",3,57,0,1
88,75,6,3,3,3,"Democrat",3,43,0,1
70,63,10,7,7,1,"Democrat",3,71,1,1
100,34,34,7,997,2,"Republican",3,57,1,1
50,51,50,2,6,3,"Democrat",1,31,1,1
86,81,61,1,5,1,"Democrat",1,78,1,1
85,85,81,1,7,2,"Independent",3,58,0,0
56,69,72,3,6,3,"Democrat",1,60,1,1
86,77,59,3,3,4,"Democrat",3,34,1,1
30,84,21,1,4,3,"Democrat",3,39,0,1
72,72,2,1,5,2,"Democrat",1,56,0,0
100,100,50,7,2,4,NA,5,52,1,1
100,30,1,5,4,4,"Republican",3,78,0,1
44,94,48,2,5,1,"Democrat",3,67,0,0
97,80,1,7,2,2,"Republican",3,54,1,1
96,97,94,4,7,5,"Democrat",2,36,0,0
60,56,16,5,2,5,"Independent",4,42,0,1
50,50,40,7,2,4,"Republican",4,68,1,0
60,20,2,7,1,2,NA,5,70,1,1
83,60,58,2,997,2,"Democrat",4,83,1,1
51,0,0,7,1,7,NA,NA,57,1,0
62,3,30,7,4,2,"Republican",5,67,1,0
70,100,50,7,1,7,NA,5,52,1,0
74,51,37,7,3,4,"Republican",4,57,1,0
50,48,3,7,997,2,"Republican",5,64,1,0
20,85,55,1,7,4,"Democrat",1,62,1,0
66,79,84,6,7,3,NA,3,63,1,1
100,52,0,4,1,4,"Democrat",4,57,1,0
77,74,15,7,2,3,"Republican",4,74,1,1
89,95,40,7,1,4,"Independent",5,63,1,0
100,100,99,1,997,2,"Democrat",2,61,1,0
60,89,0,7,2,7,"Independent",5,63,1,0
100,99,99,1,7,1,"Democrat",1,76,1,1
84,88,88,4,997,4,"Democrat",2,53,0,1
80,90,6,7,1,1,NA,5,48,0,1
70,83,100,1,4,2,"Democrat",1,33,1,1
50,50,78,1,5,2,"Democrat",2,70,1,1
50,50,41,7,2,4,"Independent",3,67,0,1
50,50,39,6,4,4,"Republican",4,52,1,1
100,100,100,5,1,7,NA,3,71,1,0
78,78,45,7,2,1,"Independent",4,80,1,1
100,52,73,4,7,1,"Democrat",3,44,1,1
58,85,27,1,997,5,"Independent",2,28,1,0
82,38,7,7,1,4,"Republican",5,41,1,1
97,91,90,1,7,4,"Democrat",2,78,1,0
49,71,29,5,7,1,"Democrat",4,51,0,1
70,71,71,4,5,1,"Independent",3,37,0,0
22,35,52,5,2,1,"Independent",NA,26,0,0
100,81,25,6,2,1,"Independent",4,82,1,0
45,62,57,1,7,2,"Democrat",1,56,1,1
68,80,61,2,5,3,"Democrat",2,61,0,1
99,80,50,7,4,4,NA,3,62,1,0
86,86,51,7,5,1,"Independent",4,68,1,1
96,94,89,1,5,3,"Democrat",2,60,1,0
51,53,50,5,2,4,"Democrat",3,54,1,1
81,42,26,7,1,6,"Independent",3,42,1,0
99,88,50,1,5,4,"Democrat",3,53,1,1
90,90,60,6,2,2,"Independent",3,68,1,0
84,77,82,5,5,3,"Democrat",2,24,1,1
72,50,11,6,6,4,"Democrat",4,57,1,0
53,38,41,7,3,2,NA,3,24,1,0
81,90,81,1,7,5,"Democrat",2,61,1,0
1,100,100,1,5,4,"Democrat",2,64,0,0
69,72,50,7,1,1,"Republican",5,63,1,0
100,83,9,7,4,2,NA,3,58,1,1
50,50,51,6,3,2,"Republican",3,61,1,1
61,100,94,2,6,5,"Democrat",1,33,0,0
37,16,4,7,3,4,"Independent",2,25,1,1
52,50,50,2,6,4,"Republican",3,36,1,0
50,50,55,2,5,4,"Democrat",2,34,1,0
90,61,41,7,2,2,"Independent",3,80,1,0
51,52,31,7,1,7,NA,3,86,1,0
78,72,59,1,5,2,"Democrat",2,75,0,1
51,53,52,6,4,2,"Independent",3,60,1,1
87,6,8,6,1,4,"Republican",4,32,1,1
77,80,16,4,2,6,"Independent",3,37,1,0
41,72,59,1,7,1,"Democrat",1,24,0,0
70,1,NA,7,1,1,"Republican",4,71,1,0
74,72,51,7,5,5,"Independent",4,48,1,1
91,83,1,7,3,4,"Republican",4,39,1,0
50,50,50,1,7,4,"Democrat",3,48,1,1
50,50,45,6,4,4,"Independent",3,23,1,0
49,98,1,1,7,1,"Democrat",2,44,0,1
50,50,50,2,6,3,"Independent",2,44,1,1
83,41,0,7,2,2,"Republican",5,95,1,0
80,37,3,2,997,4,"Democrat",3,52,1,1
90,90,4,6,2,4,"Independent",3,76,0,1
68,78,79,2,7,1,"Democrat",3,37,0,0
51,99,99,3,7,7,"Democrat",1,27,1,0
89,66,41,7,3,2,"Independent",4,77,1,0
79,98,99,7,997,1,NA,NA,44,0,0
62,100,51,6,4,2,"Republican",5,52,0,0
86,66,0,2,4,4,"Independent",NA,44,1,1
87,89,77,1,5,3,"Democrat",1,60,1,0
53,54,53,1,6,3,"Democrat",2,70,1,1
84,60,50,2,7,1,"Democrat",2,33,1,1
51,50,50,6,7,7,"Independent",3,25,1,0
55,99,6,5,3,7,"Democrat",NA,55,1,1
100,80,1,7,1,3,"Independent",3,41,1,1
87,61,41,2,6,1,"Democrat",3,58,1,1
44,46,84,3,3,5,"Independent",3,53,0,0
96,15,50,5,7,1,"Democrat",1,43,1,0
45,41,19,7,4,1,"Independent",5,60,1,1
63,53,63,7,5,4,"Independent",1,29,0,1
87,95,34,7,4,4,"Republican",3,30,1,1
94,97,68,1,5,2,"Democrat",1,22,1,0
50,51,51,2,4,1,"Democrat",3,60,0,0
50,50,50,7,997,3,"Democrat",3,43,0,1
100,100,100,2,2,1,"Democrat",3,66,1,1
91,94,73,2,6,2,"Democrat",2,72,1,1
50,52,36,2,997,1,"Republican",5,55,0,1
26,100,99,1,5,4,"Democrat",3,42,0,1
NA,NA,51,5,5,2,"Independent",3,61,0,1
87,13,0,7,997,5,"Independent",2,44,1,0
70,31,5,3,2,3,"Democrat",3,45,1,0
100,18,4,7,1,2,"Republican",5,54,1,0
12,89,17,1,5,2,"Democrat",5,38,0,0
73,33,48,1,7,4,"Democrat",5,34,0,1
100,74,73,6,4,2,"Republican",3,61,1,1
78,90,68,1,2,2,"Democrat",1,33,0,0
55,91,91,2,5,6,"Democrat",1,24,0,1
85,98,9,4,7,4,"Democrat",3,58,0,1
89,100,69,1,5,2,"Democrat",NA,62,0,1
93,97,96,1,4,2,"Democrat",2,73,1,1
41,50,31,4,4,4,"Independent",3,62,1,0
91,96,94,2,7,2,"Democrat",1,43,1,1
1,0,8,7,997,3,"Independent",3,29,0,1
50,50,50,2,4,2,"Independent",2,27,1,0
60,0,0,7,4,3,"Independent",NA,41,0,0
89,93,75,2,6,2,"Democrat",1,33,1,0
83,67,51,6,1,1,"Republican",4,77,1,1
27,18,11,3,4,4,"Democrat",4,31,0,1
0,2,1,7,5,4,"Independent",NA,51,0,1
90,70,60,6,2,4,"Republican",4,76,1,0
100,100,47,6,4,1,"Independent",3,38,1,0
1,1,2,7,997,4,NA,NA,32,1,0
97,73,14,7,4,3,"Independent",4,67,1,1
70,70,50,4,997,4,"Republican",3,73,0,1
73,69,53,6,3,3,"Independent",3,43,1,0
73,50,49,2,4,3,"Democrat",1,28,1,0
94,95,51,6,3,2,"Republican",3,54,1,1
45,100,100,7,7,1,"Democrat",NA,56,0,1
95,40,0,7,997,2,"Republican",4,78,1,1
51,51,50,2,7,2,"Democrat",1,21,0,0
50,50,0,7,4,5,NA,4,57,1,1
70,65,42,7,2,3,"Independent",4,60,1,1
68,78,70,7,2,2,"Republican",5,35,1,1
90,30,40,2,997,2,"Republican",4,43,1,0
50,50,50,4,997,4,"Independent",3,22,0,0
41,60,69,1,7,1,"Democrat",3,23,0,0
81,68,9,5,4,3,"Democrat",4,58,1,0
1,1,0,7,7,7,"Independent",5,43,1,0
48,32,20,6,1,4,"Republican",4,37,1,1
76,87,71,2,5,3,"Democrat",2,49,0,1
50,49,48,4,997,4,"Independent",3,31,1,0
100,100,51,2,4,4,"Democrat",1,38,0,1
70,63,57,3,4,4,"Independent",3,61,0,1
69,73,61,2,5,1,"Democrat",1,62,1,1
66,97,51,2,5,2,"Democrat",3,46,1,1
51,51,0,7,4,4,"Republican",3,54,1,0
50,50,35,6,4,2,"Republican",4,67,1,0
50,50,54,2,3,3,"Independent",3,40,0,0
99,99,98,6,4,3,"Independent",3,66,1,0
42,98,42,2,6,2,"Democrat",2,69,0,1
83,100,70,1,5,4,"Democrat",2,44,0,1
41,91,30,7,5,2,"Republican",5,76,1,1
89,80,12,4,997,2,"Independent",NA,48,1,0
86,85,46,6,1,2,"Republican",5,48,1,0
99,0,100,1,7,1,"Democrat",5,21,0,1
85,85,50,7,1,6,"Republican",5,44,1,0
95,100,57,3,997,2,"Independent",4,65,0,1
35,86,50,2,2,2,"Independent",3,26,0,0
88,94,1,6,3,3,"Democrat",2,56,1,1
63,73,22,7,2,6,"Independent",4,36,1,1
81,90,59,6,3,1,"Republican",3,25,0,1
50,85,50,2,997,4,"Democrat",2,56,0,1
94,95,63,1,7,3,"Democrat",3,28,0,1
80,50,0,7,997,4,"Republican",NA,45,1,0
90,6,6,2,4,4,"Democrat",3,59,1,0
91,94,89,2,5,2,"Democrat",2,43,1,1
90,50,6,4,4,2,"Democrat",NA,48,1,0
50,50,30,6,1,6,NA,NA,28,0,0
61,63,61,2,5,3,"Democrat",2,41,1,1
73,77,62,2,4,2,"Democrat",3,82,1,1
62,59,50,1,997,4,"Democrat",1,69,0,0
51,70,50,2,5,2,"Democrat",3,27,0,1
87,91,36,1,6,4,"Republican",5,36,0,1
50,50,50,3,4,5,"Independent",3,24,1,0
98,6,0,7,6,2,"Republican",3,64,1,0
99,76,5,3,7,1,"Independent",NA,58,1,1
19,97,51,1,5,4,"Democrat",1,53,0,1
73,77,77,2,6,3,"Independent",2,63,1,0
79,75,92,2,4,4,"Democrat",2,25,1,1
61,47,22,6,4,2,"Independent",3,39,1,0
99,51,7,2,3,2,"Democrat",NA,31,1,0
97,50,1,7,1,1,"Republican",5,40,1,0
55,80,65,1,7,2,"Democrat",2,50,0,1
50,51,14,7,1,4,"Republican",4,23,1,1
72,59,81,1,997,3,"Democrat",1,26,1,0
53,100,100,1,7,4,"Independent",3,62,0,0
50,50,50,7,1,3,"Independent",4,44,0,0
89,13,57,7,3,2,"Republican",2,59,0,0
93,93,92,1,5,3,NA,3,62,1,0
100,25,0,7,1,4,"Independent",3,23,0,0
57,57,20,2,7,1,"Democrat",4,26,0,1
50,50,41,7,3,3,"Republican",5,58,1,1
60,48,0,7,1,7,"Independent",3,43,0,0
99,78,45,7,2,4,"Republican",4,50,1,1
88,81,99,2,5,2,"Democrat",3,29,0,1
41,81,44,4,5,4,"Democrat",3,49,0,0
70,72,71,3,997,2,"Democrat",2,20,1,1
91,90,90,2,7,6,"Democrat",1,35,1,1
68,46,28,2,7,4,"Independent",4,38,0,0
93,91,70,2,5,2,"Independent",3,65,0,0
53,51,53,3,997,3,"Independent",3,37,0,1
51,41,25,3,5,1,"Independent",4,39,1,0
51,50,3,7,1,4,"Republican",3,34,0,1
83,100,56,7,2,4,"Independent",3,66,1,1
80,70,15,7,2,3,"Republican",5,46,1,0
99,69,70,5,7,4,"Independent",1,49,1,0
51,51,48,5,2,5,"Independent",3,64,1,0
86,86,72,2,6,3,"Democrat",2,25,1,1
72,52,32,5,5,4,"Democrat",2,36,0,0
98,65,6,4,4,5,"Republican",2,60,1,0
99,100,2,7,4,3,"Republican",NA,37,0,1
60,88,54,4,6,3,"Democrat",NA,21,1,1
90,60,0,7,1,7,"Independent",5,45,1,0
70,100,50,1,3,2,"Democrat",NA,52,0,1
84,60,10,7,2,3,"Republican",4,42,1,0
95,81,30,2,5,2,"Democrat",2,53,0,0
99,45,30,7,2,4,NA,4,28,1,0
81,50,29,7,2,4,"Republican",4,28,0,0
57,45,41,2,7,4,"Democrat",4,26,0,1
100,0,0,7,1,4,NA,5,34,1,1
52,51,51,4,4,3,"Independent",4,19,0,0
76,93,95,3,7,3,"Republican",3,51,1,1
72,82,66,4,4,3,NA,3,57,1,0
99,46,1,2,1,1,"Democrat",1,25,0,1
50,50,50,6,1,6,NA,3,32,1,1
98,53,65,6,3,4,"Republican",4,37,1,1
19,42,31,1,7,1,"Democrat",4,27,1,0
2,2,1,7,2,7,"Independent",3,35,1,0
92,63,70,5,7,3,"Independent",NA,57,1,1
97,90,51,6,5,1,"Democrat",3,52,1,1
89,89,2,7,2,4,"Independent",4,72,0,0
35,67,75,2,5,4,"Democrat",2,28,1,0
72,94,100,2,5,4,"Independent",1,27,0,1
90,90,90,1,6,4,NA,2,23,1,1
51,50,18,7,2,4,NA,4,20,1,0
51,50,99,4,7,4,"Democrat",NA,22,0,1
71,41,0,1,5,4,NA,NA,43,1,0
81,84,16,5,7,1,"Independent",2,41,1,0
100,100,80,6,3,4,"Independent",3,19,1,1
95,40,2,5,4,2,"Independent",2,76,1,1
75,75,75,3,7,6,"Independent",NA,43,1,1
60,70,50,5,4,2,"Democrat",4,65,0,0
100,41,1,7,1,3,"Independent",3,39,1,1
83,47,55,4,3,3,"Republican",NA,22,0,1
45,50,70,2,5,4,"Democrat",2,21,0,1
92,50,47,6,3,3,"Republican",4,49,1,0
100,90,1,6,4,2,NA,NA,59,1,1
100,19,1,6,4,3,"Democrat",1,29,1,1
33,35,13,2,6,2,"Independent",2,35,1,0
44,45,43,2,4,4,"Democrat",4,36,1,0
64,65,56,1,4,2,"Democrat",3,48,0,0
80,51,49,4,6,4,"Independent",3,31,0,0
100,100,71,7,3,2,"Independent",3,56,1,0
47,80,80,2,4,2,"Democrat",1,23,1,0
74,72,44,2,4,3,"Democrat",2,69,1,1
33,25,57,6,997,4,"Democrat",3,31,1,1
90,50,46,7,2,3,"Republican",4,64,1,0
47,48,50,4,7,3,"Democrat",3,56,0,0
50,50,50,7,1,7,"Republican",4,36,1,0
100,100,99,1,997,1,"Democrat",2,39,0,1
100,49,50,5,6,1,"Democrat",3,41,0,1
69,3,3,7,997,3,"Republican",4,54,1,1
100,100,59,4,997,4,NA,3,41,0,1
70,65,62,3,7,6,"Independent",2,58,1,1
3,89,50,1,7,4,"Democrat",3,33,0,1
90,89,85,1,4,3,"Democrat",4,55,0,0
19,51,18,5,997,3,"Independent",3,20,0,0
87,77,71,1,3,2,"Independent",1,32,1,0
77,80,16,3,7,4,"Republican",5,47,0,1
50,70,50,2,997,2,"Independent",3,60,0,1
83,46,11,7,2,4,"Republican",4,26,1,0
54,52,51,5,4,3,NA,3,49,1,0
95,66,36,2,5,4,"Democrat",1,62,1,0
50,50,49,3,4,3,"Independent",3,30,0,0
71,51,7,7,1,1,"Republican",4,74,1,1
31,4,0,7,2,3,"Independent",4,52,1,0
90,90,50,1,7,4,"Democrat",2,59,1,0
81,91,90,2,997,4,"Independent",2,35,1,1
69,75,69,2,997,1,"Democrat",4,69,0,1
50,50,50,5,3,5,NA,3,32,1,0
85,84,83,3,7,4,"Republican",4,40,0,0
53,99,70,1,5,1,"Democrat",3,55,0,0
19,82,52,1,5,1,"Democrat",NA,63,0,0
100,81,44,6,7,2,"Republican",3,50,1,1
56,100,6,4,7,4,NA,3,40,1,1
96,82,31,7,1,4,"Republican",4,41,1,0
50,21,5,2,1,2,"Independent",3,33,0,0
93,59,81,1,7,3,"Democrat",4,48,0,1
50,50,50,2,997,3,"Democrat",NA,19,0,0
95,96,70,7,2,3,"Independent",4,52,0,0
69,50,51,1,7,2,"Independent",1,25,1,0
99,96,95,1,6,2,"Democrat",2,62,1,1
92,100,6,1,7,1,"Democrat",1,48,0,1
