"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
59,84,90,2,6,2,"Democrat",3,60,1,0
55,59,50,2,3,3,"Independent",3,27,0,0
70,71,6,5,2,4,"Independent",5,59,1,0
55,50,31,6,1,4,"Independent",3,66,1,0
86,96,96,2,5,4,"Democrat",2,41,1,1
75,92,90,2,5,3,"Democrat",2,19,0,1
52,50,51,4,5,3,"Democrat",1,20,0,1
75,67,16,5,3,3,"Democrat",4,44,1,0
78,82,72,4,997,3,"Independent",3,19,1,1
80,97,75,1,6,1,"Democrat",3,20,0,1
79,85,71,7,2,4,"Republican",3,27,1,0
52,51,27,6,4,3,"Independent",3,23,1,1
48,49,49,5,3,4,"Republican",3,19,1,1
100,81,70,7,3,2,"Republican",2,54,1,0
70,100,100,1,7,4,"Democrat",1,44,1,0
96,100,96,2,7,2,"Democrat",2,43,0,1
59,99,8,2,4,3,"Democrat",3,24,0,1
50,28,48,1,997,3,NA,NA,19,0,1
50,70,50,3,5,6,"Democrat",1,38,0,0
65,42,31,3,1,4,NA,4,57,1,1
76,87,84,6,2,6,"Independent",3,37,1,1
72,90,62,7,1,7,"Independent",4,46,1,1
80,80,61,2,5,2,"Democrat",2,72,1,0
59,11,16,4,5,4,NA,NA,34,1,0
50,40,50,2,1,4,"Independent",NA,19,0,0
31,38,49,3,5,3,"Democrat",2,33,0,0
63,69,48,7,2,3,"Republican",4,29,1,0
12,22,15,7,997,4,NA,NA,22,1,0
50,50,50,7,3,3,"Independent",3,26,1,0
100,97,90,1,7,1,"Democrat",4,79,1,1
51,84,80,2,997,3,"Independent",3,32,1,0
91,50,62,2,997,2,"Independent",3,38,0,1
64,61,65,3,5,2,"Independent",3,32,1,0
68,89,85,3,5,4,"Democrat",2,20,1,1
100,100,50,7,4,4,"Republican",3,35,1,1
88,91,58,1,7,4,"Democrat",4,42,0,0
88,80,1,7,2,2,"Republican",4,46,1,0
67,9,34,2,7,3,"Democrat",1,23,1,1
59,59,54,7,4,4,"Independent",3,56,1,1
38,49,49,4,4,5,"Independent",3,26,1,0
56,100,57,1,997,1,"Democrat",NA,29,0,0
74,81,11,4,6,2,"Democrat",NA,59,1,0
39,71,30,2,7,1,"Republican",1,26,0,0
51,32,37,1,7,1,"Democrat",3,41,0,0
74,100,40,4,997,1,"Democrat",2,62,0,1
80,98,50,1,5,2,"Democrat",2,59,0,1
74,20,39,3,4,5,"Democrat",3,28,0,1
63,98,95,1,7,4,"Independent",3,21,0,1
72,80,79,2,4,2,"Independent",2,42,0,0
97,64,5,5,5,2,"Republican",3,48,1,0
86,85,51,6,5,3,"Independent",NA,53,0,0
47,17,5,7,4,4,"Republican",5,46,1,0
74,84,79,2,1,2,NA,3,26,1,0
99,39,0,2,4,3,"Democrat",3,42,1,0
50,90,69,1,7,4,"Democrat",1,55,0,1
0,0,0,4,3,7,"Independent",NA,28,0,0
63,75,58,3,6,4,"Democrat",1,20,0,0
50,50,30,2,7,2,"Democrat",NA,57,1,1
50,51,21,7,1,3,"Republican",5,28,1,1
87,91,77,2,2,4,"Independent",3,35,1,0
46,53,56,2,6,4,"Independent",1,39,1,1
50,93,32,1,997,3,"Democrat",5,40,0,0
90,95,91,2,6,2,"Democrat",4,44,0,1
73,74,76,2,6,2,"Democrat",1,29,1,1
100,100,88,2,4,6,"Democrat",NA,34,0,1
89,90,49,3,997,1,"Independent",NA,65,1,1
78,60,44,7,6,2,"Independent",4,36,1,1
85,13,4,6,1,7,"Independent",3,36,1,1
68,82,92,3,3,4,"Independent",3,20,1,1
89,58,65,6,997,2,"Republican",3,39,1,1
85,85,30,6,4,6,"Independent",3,57,1,0
22,17,24,3,6,4,"Democrat",4,27,0,0
95,55,41,3,4,1,NA,3,43,1,0
89,90,85,2,6,4,"Democrat",2,29,1,1
41,61,4,1,4,5,NA,2,31,1,0
50,75,30,7,3,2,"Republican",5,21,0,0
41,41,27,6,6,5,NA,3,29,0,1
99,100,100,2,6,2,"Democrat",2,62,1,0
85,85,40,6,4,2,"Independent",3,57,1,1
56,54,54,4,4,4,"Republican",4,54,1,1
51,89,87,2,6,4,"Democrat",1,29,1,1
61,88,70,5,4,2,"Independent",3,53,1,1
72,49,2,3,997,4,"Independent",1,91,1,1
91,92,94,2,4,3,"Democrat",1,57,0,0
62,77,73,2,5,3,"Democrat",1,24,1,1
91,99,48,7,997,4,"Independent",NA,25,1,0
95,11,1,7,4,1,"Independent",3,60,1,1
59,61,41,7,7,4,"Independent",NA,57,1,1
70,40,36,6,997,3,"Independent",3,64,1,1
85,81,35,7,4,1,"Independent",3,69,1,0
89,45,36,2,4,4,"Independent",3,40,1,0
73,91,88,2,4,4,"Independent",1,46,1,0
100,79,38,1,5,1,"Democrat",2,73,0,1
90,89,64,3,6,2,"Democrat",3,75,1,0
99,60,4,7,2,5,"Republican",4,85,1,1
66,59,43,7,2,4,"Independent",4,70,1,1
50,56,56,2,3,3,"Independent",1,37,1,0
81,64,73,2,7,1,NA,1,28,1,0
50,50,45,7,1,5,"Republican",4,34,1,0
69,68,50,1,3,4,"Democrat",3,40,0,1
50,75,65,2,6,4,"Democrat",1,60,1,0
52,71,59,2,6,4,"Democrat",2,27,1,0
50,50,50,3,7,6,"Independent",2,19,1,1
97,100,8,7,4,7,"Republican",5,32,1,0
52,96,89,2,7,5,"Democrat",1,38,0,1
99,99,52,4,1,2,NA,3,43,1,1
82,79,85,1,4,7,"Independent",3,50,1,0
50,50,31,7,1,3,"Independent",5,41,1,1
100,100,50,3,997,4,"Democrat",1,26,1,0
51,50,53,7,1,3,"Republican",5,40,1,0
0,84,31,2,5,6,"Democrat",3,24,0,1
70,71,70,6,5,3,NA,NA,26,1,1
100,100,99,2,6,6,"Independent",2,62,1,0
60,70,2,7,4,3,"Republican",4,61,1,0
71,60,34,4,7,5,"Democrat",NA,27,0,1
66,9,3,5,2,2,"Republican",2,56,1,1
99,80,53,7,1,3,"Republican",4,68,1,1
51,50,51,4,997,2,"Independent",NA,21,1,0
100,100,53,3,5,3,"Democrat",3,33,0,0
50,53,0,7,1,2,"Republican",5,22,1,0
50,100,50,1,997,4,"Democrat",1,21,0,1
71,49,16,5,997,2,"Independent",NA,34,0,1
83,69,51,7,2,2,"Independent",4,38,0,1
8,37,18,2,5,4,"Independent",2,26,0,1
81,71,70,1,5,3,"Democrat",2,72,1,0
42,73,26,3,5,3,"Independent",4,47,0,1
50,52,53,2,4,2,"Democrat",3,22,0,1
49,100,78,1,4,1,"Democrat",1,36,0,1
61,58,20,7,3,4,"Republican",5,38,1,0
64,66,27,4,4,4,"Republican",4,23,1,0
86,81,10,2,5,2,"Democrat",3,58,0,1
49,96,71,2,6,5,NA,3,43,0,1
60,68,NA,5,997,4,"Democrat",NA,67,1,1
41,77,76,3,4,5,NA,2,29,1,1
65,100,53,1,6,3,"Democrat",1,40,0,1
41,39,41,4,997,4,"Democrat",2,22,1,0
89,50,15,7,3,2,"Independent",4,62,1,1
50,50,50,3,5,4,"Democrat",2,21,1,1
85,80,1,7,4,4,"Republican",4,21,1,0
36,50,51,2,4,2,NA,2,19,0,1
98,100,50,7,4,3,"Republican",3,39,1,1
28,65,20,4,4,4,"Independent",4,20,1,1
78,60,17,5,5,3,"Independent",3,29,1,0
82,64,60,3,2,3,NA,3,64,0,1
63,25,2,1,7,3,"Republican",3,24,1,0
52,50,62,2,3,4,"Democrat",3,38,0,1
100,40,1,2,5,1,"Democrat",2,35,1,1
50,62,50,3,5,5,"Democrat",3,32,1,0
49,53,1,4,4,5,NA,NA,39,1,0
0,100,2,7,1,4,"Independent",1,40,1,0
89,44,8,7,1,2,"Republican",4,76,1,1
47,100,100,2,997,4,"Democrat",1,33,1,1
98,96,85,3,6,3,"Republican",3,20,1,1
91,47,3,7,3,2,"Republican",4,59,1,0
47,95,91,1,5,2,"Democrat",1,26,1,1
59,58,50,1,7,4,"Democrat",1,30,1,0
74,77,76,2,7,3,"Democrat",1,30,0,1
50,50,51,6,6,2,"Independent",NA,25,1,1
87,93,97,3,4,5,"Republican",3,33,1,0
95,89,100,3,4,3,"Democrat",2,25,1,1
52,56,50,4,5,2,"Independent",3,35,1,1
69,55,51,3,6,3,"Independent",3,33,1,0
5,100,4,3,7,2,"Democrat",2,35,0,1
89,71,70,2,6,1,"Independent",3,45,0,0
71,34,68,4,6,5,"Republican",4,27,0,0
75,52,61,4,2,4,"Independent",3,20,0,0
52,83,13,7,7,4,"Independent",NA,38,1,0
56,68,82,2,7,3,"Democrat",1,22,1,1
40,100,100,3,7,2,NA,1,26,0,1
21,100,100,2,7,1,"Independent",1,24,1,1
78,86,79,3,3,6,"Independent",2,30,1,1
89,97,96,2,6,6,"Independent",2,22,1,1
92,70,53,4,4,3,NA,1,30,0,0
95,79,93,2,4,2,"Democrat",4,30,0,1
75,75,82,2,4,4,"Democrat",2,28,1,0
51,99,88,2,4,6,"Independent",3,33,1,0
52,92,92,2,6,4,"Democrat",1,23,0,0
78,64,41,2,3,2,"Independent",2,30,1,1
62,59,51,7,4,2,"Republican",4,79,1,1
100,100,52,6,5,4,"Independent",3,37,1,0
16,99,100,2,7,7,"Democrat",1,28,1,0
69,63,65,2,7,1,"Independent",1,45,1,1
55,98,0,2,997,4,"Democrat",NA,24,0,0
100,50,0,7,1,4,"Independent",5,65,1,0
50,50,10,7,1,1,"Republican",5,39,1,0
99,86,1,4,6,4,"Independent",NA,27,1,0
100,83,1,7,5,2,"Independent",3,42,1,0
83,84,1,7,1,2,"Republican",4,79,1,0
62,75,39,3,6,4,"Democrat",1,29,1,0
100,100,41,6,3,4,NA,4,46,1,1
50,51,50,4,2,3,"Independent",3,49,1,1
100,98,81,7,1,4,"Republican",5,35,1,1
76,91,91,2,5,2,"Democrat",2,23,1,0
99,88,68,5,3,3,"Republican",3,27,1,1
100,71,41,1,7,1,"Democrat",1,21,1,1
81,78,56,1,5,1,"Democrat",3,55,1,1
80,90,8,4,997,4,"Republican",3,43,0,0
29,79,54,1,4,4,"Democrat",1,29,0,1
91,70,57,6,6,3,NA,NA,63,1,1
50,100,91,1,6,5,"Independent",3,44,0,0
100,100,100,1,7,1,"Democrat",1,52,0,1
98,10,5,7,6,4,"Republican",3,43,1,0
89,91,57,7,3,4,"Republican",4,74,1,1
85,85,3,6,3,3,"Republican",5,19,1,0
88,15,3,7,1,2,"Republican",5,29,1,0
66,68,15,3,6,3,"Independent",2,25,0,1
99,68,51,7,4,5,"Republican",4,25,1,1
100,18,12,7,4,4,"Democrat",3,26,1,1
50,91,9,6,4,5,"Republican",3,23,1,1
100,100,75,1,6,1,"Independent",3,56,1,1
70,98,98,2,4,4,"Independent",2,29,1,1
91,92,99,2,3,1,"Democrat",4,51,0,0
50,40,46,2,3,4,"Independent",3,23,0,0
53,52,60,2,6,4,"Democrat",2,63,1,1
97,100,100,3,6,4,"Democrat",1,36,1,0
75,76,81,5,7,2,"Independent",3,59,1,1
100,39,14,7,6,1,"Democrat",NA,27,1,1
50,50,30,7,3,3,"Republican",2,22,1,1
93,19,66,4,7,1,"Democrat",3,30,1,1
37,58,31,2,3,1,"Democrat",3,47,1,1
50,50,50,2,6,4,"Democrat",2,23,1,1
88,41,45,7,6,3,"Independent",3,34,1,1
79,94,5,3,6,4,"Democrat",3,22,0,0
72,72,8,6,5,3,"Independent",3,54,1,1
35,58,6,7,6,7,"Independent",3,31,1,1
74,72,80,2,7,4,"Republican",5,22,0,1
100,99,1,7,4,2,"Republican",4,43,1,1
78,44,4,3,1,3,"Democrat",3,30,0,1
85,85,61,2,6,3,"Republican",5,31,0,0
100,100,5,4,4,4,"Republican",NA,37,1,1
60,70,65,2,6,5,"Democrat",1,20,1,0
90,90,90,2,4,3,"Democrat",2,25,1,1
51,51,31,3,997,4,"Independent",3,23,1,1
99,90,51,5,5,2,"Democrat",3,34,1,1
58,50,38,4,5,2,"Independent",4,43,0,1
50,51,40,7,1,4,"Republican",4,40,1,0
88,49,22,7,2,6,"Republican",5,47,1,0
47,78,18,4,6,2,"Democrat",NA,38,0,1
91,97,68,6,2,4,"Independent",3,22,1,1
71,63,8,7,4,4,"Republican",NA,36,1,1
85,100,80,5,4,6,"Democrat",2,41,0,0
50,50,50,6,7,5,"Independent",1,39,1,0
60,70,82,1,5,5,"Democrat",2,23,1,0
85,72,77,1,6,2,"Democrat",4,28,1,0
84,47,45,2,5,4,"Democrat",3,62,1,0
80,80,41,5,4,4,"Independent",3,26,1,0
98,83,64,1,7,3,"Democrat",3,42,1,0
60,46,89,7,2,2,NA,5,29,0,1
50,50,15,1,4,1,"Democrat",3,26,1,1
40,99,52,1,4,4,"Independent",2,41,0,0
84,56,43,4,4,2,"Democrat",3,37,1,1
87,90,86,2,7,4,"Democrat",1,31,1,0
40,90,89,1,997,1,"Democrat",1,45,0,1
98,82,58,2,4,2,"Republican",2,29,1,1
31,100,100,5,7,1,"Independent",1,27,1,0
99,46,0,7,997,3,"Republican",4,64,1,1
73,66,60,5,5,4,"Republican",4,25,1,1
66,46,NA,7,3,4,"Democrat",3,62,0,1
16,4,1,7,997,3,"Independent",4,34,1,1
100,90,70,7,1,6,NA,4,32,1,1
72,72,50,3,7,3,"Independent",2,24,1,0
50,100,100,1,5,5,"Democrat",2,29,1,1
90,99,94,2,4,6,"Republican",4,37,1,1
53,51,23,3,4,3,"Independent",NA,24,1,1
99,94,82,6,4,1,"Republican",4,48,1,1
80,85,29,4,5,1,"Democrat",2,26,0,1
82,80,100,1,4,1,"Democrat",1,22,0,1
62,72,60,6,4,2,"Democrat",2,28,1,1
25,99,5,1,997,1,"Democrat",3,31,0,0
76,80,40,2,5,3,"Independent",2,29,1,1
96,97,86,2,6,3,"Republican",1,30,1,1
94,33,7,7,1,3,"Republican",NA,39,1,0
48,50,50,4,997,4,"Independent",NA,24,1,1
69,69,31,7,3,4,"Republican",4,52,0,1
51,50,42,6,5,3,"Republican",4,30,1,1
50,50,30,7,3,2,"Republican",4,67,0,0
74,65,1,7,7,3,"Independent",NA,54,1,1
50,50,46,5,3,4,"Republican",3,27,1,1
61,63,59,3,6,3,"Democrat",2,28,1,1
87,86,0,7,4,1,"Independent",NA,24,1,1
94,84,38,4,7,5,"Independent",3,21,1,1
57,54,59,3,6,3,"Democrat",3,25,0,0
85,85,85,1,5,6,"Independent",3,62,0,1
100,66,28,6,5,3,"Republican",3,25,1,1
100,100,50,6,3,3,"Independent",3,30,1,0
42,82,67,6,3,3,"Independent",2,27,1,0
100,100,88,7,1,4,"Independent",3,31,1,0
50,51,22,2,7,7,NA,1,23,1,0
63,100,100,2,4,6,"Democrat",2,19,1,0
70,30,10,3,3,3,"Democrat",2,25,0,1
51,4,70,2,7,5,"Democrat",2,37,0,0
65,76,95,1,7,1,"Democrat",2,34,0,1
88,89,80,2,4,2,"Independent",2,30,0,1
50,61,30,2,7,3,"Republican",2,30,0,0
36,89,85,2,5,4,"Independent",2,20,1,1
70,90,11,1,6,1,"Democrat",2,51,0,0
99,81,3,3,4,4,"Republican",2,58,1,1
94,91,31,3,6,3,"Independent",2,34,1,0
87,53,2,7,4,4,"Independent",5,24,1,1
86,86,81,2,5,3,"Democrat",3,60,1,1
47,57,53,3,6,1,"Democrat",1,27,1,0
69,72,27,2,3,4,"Democrat",2,20,0,1
7,7,4,3,1,2,"Republican",4,42,0,0
50,4,4,1,1,2,"Democrat",3,33,0,0
100,91,19,7,1,3,"Republican",3,28,1,0
91,69,47,7,2,2,"Independent",3,29,0,1
73,64,64,2,6,3,"Democrat",2,20,0,0
52,53,55,5,6,3,"Independent",4,35,1,1
99,35,31,7,5,3,"Republican",4,51,1,1
97,96,54,2,997,1,"Democrat",2,45,0,0
84,94,54,1,5,3,"Democrat",2,56,0,0
65,27,1,7,5,2,NA,3,53,1,0
99,100,100,6,3,7,"Independent",3,27,0,0
75,88,77,2,7,4,"Democrat",2,31,1,0
85,85,90,2,6,2,"Democrat",2,25,1,0
84,89,82,2,6,4,"Democrat",1,46,1,0
73,57,26,6,4,3,"Independent",2,64,1,0
100,47,3,7,5,3,"Republican",5,29,1,1
61,51,50,7,3,3,"Independent",4,54,1,1
50,50,50,7,997,7,"Independent",NA,36,0,1
94,98,50,1,5,2,NA,3,51,1,1
53,52,50,4,1,4,"Democrat",NA,38,1,0
88,85,10,6,997,2,"Independent",2,65,1,1
65,60,45,7,1,7,"Independent",5,23,1,0
90,98,80,2,3,3,"Democrat",2,40,1,1
77,63,70,4,4,2,"Independent",2,92,1,1
70,71,50,1,7,4,"Democrat",1,63,1,1
58,91,91,2,7,4,"Democrat",1,22,0,0
100,71,51,7,6,3,"Republican",4,47,1,0
80,84,70,2,5,4,"Independent",1,38,1,0
76,89,1,1,4,1,"Democrat",2,26,0,1
44,54,100,2,7,2,"Republican",1,22,1,0
89,86,72,5,5,3,"Democrat",3,24,1,1
63,16,1,7,3,3,"Republican",4,68,1,1
57,80,87,2,5,7,"Independent",2,25,1,0
86,53,44,5,7,1,"Independent",3,24,0,1
100,100,100,4,5,2,"Independent",5,20,0,1
52,50,53,1,5,3,NA,3,34,1,0
99,62,52,5,4,4,"Independent",4,33,1,1
50,56,17,6,997,4,"Independent",3,40,1,1
71,40,44,6,1,1,"Republican",5,32,1,0
100,27,25,7,5,2,"Republican",4,56,1,1
50,50,45,2,6,3,"Democrat",2,63,1,0
97,28,3,6,5,2,"Democrat",NA,61,1,1
100,98,13,3,4,4,NA,3,39,1,1
42,35,33,2,4,4,"Democrat",2,34,1,0
91,13,53,6,5,3,NA,3,35,1,1
96,99,90,6,3,4,"Republican",3,35,1,0
4,94,76,2,997,4,"Democrat",NA,38,0,0
85,73,32,6,7,3,"Republican",1,53,0,1
51,86,81,2,7,2,"Democrat",1,81,0,0
89,9,70,7,4,3,"Independent",2,27,1,1
63,55,40,6,997,7,"Democrat",3,51,0,1
78,97,89,3,5,3,"Independent",2,24,1,0
72,72,66,7,4,4,"Republican",4,55,1,1
92,100,100,2,7,5,"Democrat",2,30,1,1
100,94,100,1,7,1,"Republican",1,26,1,1
85,84,80,1,5,2,"Independent",3,43,0,0
50,65,65,2,6,4,"Democrat",2,26,1,1
71,68,59,6,2,3,"Republican",3,34,1,1
49,55,50,6,4,4,"Independent",NA,27,1,0
71,54,55,6,6,2,"Republican",3,41,1,1
42,NA,1,7,5,4,"Republican",3,54,0,1
69,74,59,7,6,6,"Republican",4,61,0,0
70,90,90,1,6,3,"Democrat",1,27,1,1
99,99,99,2,997,3,"Democrat",2,19,1,1
49,50,51,5,7,5,"Independent",NA,27,1,1
81,86,33,5,6,3,NA,4,31,1,1
70,81,76,2,7,5,"Independent",3,53,1,0
50,100,0,1,997,4,"Republican",2,55,0,1
71,10,1,6,7,1,"Democrat",2,40,1,1
49,52,56,2,4,4,"Independent",3,19,1,0
75,75,55,1,6,2,"Democrat",3,50,1,0
99,100,98,6,3,3,"Republican",4,31,1,1
81,71,63,5,1,3,"Independent",3,43,1,1
63,94,54,2,7,1,"Democrat",1,49,0,1
64,97,100,1,6,3,"Democrat",3,41,0,1
90,69,1,7,5,4,"Republican",4,61,1,1
94,88,66,3,6,1,"Democrat",2,46,0,1
50,50,51,2,2,4,"Independent",3,61,1,0
70,100,51,4,7,3,"Republican",2,59,0,1
0,0,0,7,3,2,"Independent",3,65,1,1
76,81,69,4,6,4,"Democrat",2,36,1,1
51,50,53,2,5,5,"Democrat",3,21,1,1
80,50,10,7,1,1,"Republican",4,62,1,0
53,52,54,3,5,4,"Independent",2,26,1,0
57,73,60,3,3,4,"Independent",NA,43,1,0
78,77,65,7,5,2,"Independent",3,37,0,0
90,51,41,7,4,2,NA,3,59,1,1
99,2,3,7,7,3,"Independent",3,46,1,0
100,5,0,3,4,5,"Independent",1,35,1,0
40,60,70,1,5,3,"Democrat",1,64,1,0
100,100,100,3,3,4,"Independent",3,24,0,1
76,86,95,5,6,3,"Democrat",3,63,1,1
57,61,19,1,7,1,"Democrat",4,28,1,0
17,50,20,4,5,3,"Independent",4,31,1,0
77,91,63,1,4,4,"Democrat",4,39,0,1
82,68,81,5,4,2,"Republican",NA,58,1,1
50,51,50,2,6,5,"Democrat",1,22,1,0
70,70,70,4,6,4,"Independent",3,39,1,0
12,67,37,4,6,1,"Democrat",3,38,0,1
